,linkedin url,company_name,industry,website,tagline,about,year founded,locality,country,current employee estimate,keywords
0,linkedin.com/company/ibm,IBM,IT Services and IT Consulting,http://www.ibm.com,,"At IBM, we do more than work. We create. We create as technologists, developers, and engineers. We create with our partners. We create with our competitors. If you're searching for ways to make the world work better through technology and infrastructure, software and consulting, then we want to work with you.

We're here to help every creator turn their ""what if"" into what is. Let's create something that will change everything.",1911.0,"new york, new york, united states",united states,274047,"ibm,technologists,developers,engineers,technology"
1,linkedin.com/company/tata-consultancy-services,Tata Consultancy Services,IT Services and IT Consulting,https://www.tcs.com/,Building on belief,"A purpose-led organization that is building a meaningful future through innovation, technology, and collective knowledge. We're #BuildingOnBelief.

A part of the Tata group, India's largest multinational business group, TCS has over 500,000 of the world’s best-trained consultants in 46 countries. The company generated consolidated revenues of US $22.2 billion in the fiscal year ended March 31, 2021, and is listed on the BSE (formerly Bombay Stock Exchange) and the NSE (National Stock Exchange) in India. 

TCS' proactive stance on climate change and award-winning work with communities across the world have earned it a place in leading sustainability indices such as the MSCI Global Sustainability Index and the FTSE4Good Emerging Index. 

For more information, visit us at the link below

*Caution against fraudulent job offers*: TCS doesn't charge any fee throughout the recruitment process. Refer here: on.tcs.com/3i9X5BU",1968.0,"bombay, maharashtra, india",india,190771,"tata,tcs,consultants,bse,multinational"
2,linkedin.com/company/accenture,Accenture,Business Consulting and Services,http://www.accenture.com,,"Accenture is a global professional services company with leading capabilities in digital, cloud, and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations Services, and Accenture Song—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. 

Our people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners, and communities. 

Visit us at accenture.com.",1989.0,"dublin, dublin, ireland",ireland,190689,"accenture,consulting,services,clients,cloud"
3,linkedin.com/company/us-army,US Army,Armed Forces,http://www.army.mil,Official page of the U.S. Army. More Than 150 Career Paths in the U.S. Army. Visit GoArmy.com for more information.,"Welcome to the official U.S. Army LinkedIn page.

The U.S. Army’s mission is to fight and win our Nation’s wars by providing prompt, sustained land dominance across the full range of military operations and spectrum of conflict in support of combatant commanders. 

If you're looking for news about the U.S. Army, visit http://www.army.mil/ 

For information about U.S. Army career opportunities http://www.goarmy.com.",1800.0,"alexandria, virginia, united states",united states,162163,"army,military,commanders,wars,mission"
4,linkedin.com/company/ernstandyoung,EY,Professional Services,http://www.ey.com,"Building a #BetterWorkingWorld by providing trust through assurance and helping organizations grow, transform & operate.","EY exists to build a better working world, helping create long-term value for clients, people and society and build trust in the capital markets.

Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.

Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.

Find out more about the EY global network http://ey.com/en_gl/legal-statement",1989.0,"london, greater london, united kingdom",united kingdom,158363,"ey,global,clients,teams,assurance"
5,linkedin.com/company/hewlett-packard-enterprise,Hewlett Packard Enterprise,IT Services and IT Consulting,http://hpe.com,,"Official LinkedIn of Hewlett Packard Enterprise, the global edge-to-cloud company. Sharing our passion and purpose through technology and innovation.",1939.0,"palo alto, california, united states",united states,127952,"packard,linkedin,enterprise,company,cloud"
6,linkedin.com/company/cognizant,Cognizant,IT Services and IT Consulting,https://www.cognizant.com,,"Cognizant (Nasdaq-100: CTSH) engineers modern businesses. We help our clients modernize technology, reimagine processes and transform experiences so they can stay ahead in our fast-changing world. Together, we’re improving everyday life. See how at www.cognizant.com or @cognizant.",1994.0,"teaneck, new jersey, united states",united states,122031,"ctsh,cognizant,technology,engineers,modernize"
7,linkedin.com/company/walmart,Walmart,Retail,https://bit.ly/3IBowlZ,Save money. Live better.,"Sixty years ago, Sam Walton started a single mom-and-pop shop and transformed it into the world’s biggest retailer. Since those founding days, one thing has remained consistent: our commitment to helping our customers save money so they can live better. Today, we’re reinventing the shopping experience and our associates are at the heart of it. When you join our Walmart family of brands (Sam's Club, Bonobos, Moosejaw and many more!), you’ll play a crucial role in shaping the future of retail, improving millions of lives around the world. 

This is that place where your passions meet purpose. Join our family and build a career you’re proud of.",1962.0,"withee, wisconsin, united states",united states,120753,"walton,walmart,retail,retailer,shop"
8,linkedin.com/company/microsoft,Microsoft,Software Development,https://news.microsoft.com/,,"Every company has a mission. What's ours? To empower every person and every organization to achieve more. We believe technology can and should be a force for good and that meaningful innovation contributes to a brighter world in the future and today. Our culture doesn’t just encourage curiosity; it embraces it. Each day we make progress together by showing up as our authentic selves. We show up with a learn-it-all mentality. We show up cheering on others, knowing their success doesn't diminish our own. We show up every day open to learning our own biases, changing our behavior, and inviting in differences. When we show up, we achieve more together. 

Microsoft operates in 190 countries and is made up of more than 220,000 passionate employees worldwide.",1975.0,"redmond, washington, united states",united states,116196,"innovation,microsoft,achieve,encourage,passionate"
9,linkedin.com/company/united-states-air-force,United States Air Force,Defense and Space Manufacturing,http://www.airforce.com,,"The mission of the United States Air Force is to fly, fight and win … in air, space and cyberspace.

To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: developing Airmen, technology to war fighting and integrating operations. These core competencies make our six distinctive capabilities possible.

Air and Space Superiority: With it, joint forces can dominate enemy operations in all dimensions: land, sea, air and space.

Global Attack: Because of technological advances, the Air Force can attack anywhere, anytime and do so quickly and with greater precision than ever before.

Rapid Global Mobility: Being able to respond quickly and decisively anywhere we're needed is key to maintaining rapid global mobility.

Precision Engagement: The essence lies in the ability to apply selective force against specific targets because the nature and variety of future contingencies demand both precise and reliable use of military power with minimal risk and collateral damage.

Information Superiority: The ability of joint force commanders to keep pace with information and incorporate it into a campaign plan is crucial.

Agile Combat Support: Deployment and sustainment are keys to successful operations and cannot be separated. Agile combat support applies to all forces, from those permanently based to contingency buildups to expeditionary",1947.0,"randolph, texas, united states",united states,113997,"combat,military,expeditionary,capabilities,fly"
